Team,ATS Record,Cover %,MOV,ATS +/-
Golden State,11-6-0,64.70%,13.5,4.2
Utah,7-4-0,63.60%,-4.7,0.2
Boston,11-7-0,61.10%,-2.9,-1.9
Cleveland,10-7-1,58.80%,7.9,4.5
Houston,6-5-0,54.50%,1.2,-0.7
Atlanta,3-3-0,50.00%,-1.2,0.2
Indiana,2-2-0,50.00%,-4,1.8
San Antonio,8-8-0,50.00%,1,1.1
Milwaukee,3-3-0,50.00%,-0.7,2.1
Okla City,2-3-0,40.00%,-8.6,-4.8
Washington,5-8-0,38.50%,0,-0.5
Chicago,2-4-0,33.30%,-6.8,-2.2
Toronto,3-6-1,33.30%,-5.7,-5
Memphis,2-4-0,33.30%,-8.3,-1.1
LA Clippers,2-5-0,28.60%,-1.1,-2.9
Portland,1-3-0,25.00%,-18,-8
