Rank,Team,2016,Last 3,Last 1,Home,Away,2015
1,Okla City,56.1,53.7,61,56.7,55.5,56.8
2,Denver,54.9,53.3,57,54.4,55.3,53.4
3,Chicago,54.1,48,49,55,53.1,54.9
4,Detroit,54,53.3,66,55.6,52.4,56
5,Atlanta,53.9,54.7,44,54.2,53.6,49.7
6,Phoenix,53.6,55,62,54.8,52.5,53.2
7,Houston,53,50.7,44,54.2,51.9,53.5
8,New York,53,47.3,51,52.4,53.7,52.2
9,Golden State,52.9,53,53,53.6,52.1,53.5
10,Miami,52.7,52.7,54,53.2,52.1,52
11,Orlando,51.9,46.3,57,53.3,50.4,50.9
12,Brooklyn,51.8,54,54,53.1,50.5,49.7
13,New Orleans,51.7,45.3,47,52.7,50.7,50.4
14,Cleveland,51.7,48.7,45,52.9,50.5,52.7
15,Portland,51.6,54.7,49,52.4,50.9,54.3
16,Charlotte,51.4,47.7,49,51.9,51,51.7
17,LA Clippers,51.4,49,48,51.4,51.4,51.3
18,San Antonio,51.3,51.3,46,50.7,52,50
19,Philadelphia,51.3,47,52,51.8,50.9,49.9
20,LA Lakers,51.3,48.7,48,51.5,51,51.6
21,Washington,51,55.7,53,50.7,51.3,50.7
22,Memphis,51,42.7,35,52.8,49.1,49.8
23,Toronto,50.6,43,47,51.8,49.3,52.6
24,Utah,50.5,48.7,49,50.9,50.1,51.8
25,Minnesota,49.8,49,52,50.4,49.3,49.3
26,Boston,49.5,44.3,52,50.8,48.2,53.8
27,Indiana,49.2,52.7,53,50.2,48.2,51.7
28,Sacramento,49.2,49.7,41,48.7,49.7,53.4
29,Milwaukee,47.9,45,48,47.8,48,49.3
30,Dallas,44.9,47.3,47,46.4,43.3,50
