Rank,Team,2016,Last 3,Last 1,Home,Away,2015
1,Golden State,49.40%,48.10%,51.10%,50.80%,48.10%,48.00%
2,LA Clippers,47.50%,45.10%,43.80%,48.20%,46.90%,46.30%
3,Cleveland,47.40%,50.20%,53.40%,48.70%,46.30%,46.20%
4,Washington,47.20%,42.00%,45.00%,48.00%,46.50%,46.00%
5,Milwaukee,47.20%,43.00%,42.70%,47.70%,46.70%,46.70%
6,Denver,46.90%,47.40%,45.90%,48.00%,46.00%,44.20%
7,San Antonio,46.80%,41.90%,41.80%,47.10%,46.50%,48.20%
8,Minnesota,46.70%,48.80%,52.70%,47.40%,46.10%,46.40%
9,Indiana,46.50%,45.70%,46.60%,47.10%,45.80%,44.90%
10,Utah,46.40%,40.40%,37.10%,46.60%,46.30%,44.90%
11,Toronto,46.20%,45.80%,47.10%,47.40%,45.00%,44.50%
12,Sacramento,46.10%,50.40%,49.40%,47.00%,45.20%,46.40%
13,Houston,45.90%,42.60%,28.60%,45.90%,46.00%,44.80%
14,Portland,45.60%,38.50%,38.80%,46.60%,44.70%,44.60%
15,Miami,45.50%,48.30%,52.30%,47.00%,44.00%,46.90%
16,Boston,45.40%,44.50%,43.00%,45.80%,45.10%,43.60%
17,Okla City,45.10%,47.50%,38.50%,47.10%,43.10%,47.20%
18,Atlanta,45.10%,44.10%,47.40%,45.80%,44.40%,45.50%
19,Phoenix,45.00%,47.10%,37.60%,45.60%,44.60%,43.50%
20,New Orleans,45.00%,46.70%,44.40%,45.50%,44.50%,44.80%
21,LA Lakers,45.00%,46.80%,44.10%,46.40%,43.60%,41.40%
22,Detroit,44.90%,43.60%,38.70%,45.40%,44.30%,44.10%
23,New York,44.70%,45.80%,49.40%,46.20%,43.30%,43.90%
24,Brooklyn,44.40%,37.10%,32.60%,43.60%,45.20%,45.30%
25,Chicago,44.30%,43.70%,39.50%,43.60%,45.10%,44.10%
26,Charlotte,44.20%,39.50%,33.00%,44.90%,43.50%,43.50%
27,Philadelphia,44.20%,44.10%,49.50%,44.20%,44.20%,43.10%
28,Orlando,44.00%,43.90%,48.30%,43.50%,44.50%,45.50%
29,Dallas,44.00%,41.90%,44.00%,44.30%,43.70%,44.40%
30,Memphis,43.60%,47.60%,45.10%,43.00%,44.20%,43.80%
