Rank,Team,2016,Last 3,Last 1,Home,Away,2015
1,Charlotte,11.5,10.3,15,10.6,12.4,12.3
2,Dallas,11.9,11.7,12,12.1,11.6,12.7
3,Detroit,11.9,12,8,12,11.8,13.4
4,Toronto,12.7,10.3,12,12.9,12.5,13.1
5,Memphis,12.8,14.7,11,13.5,12.2,13.4
6,New Orleans,12.9,12,11,12.2,13.5,13.4
7,LA Clippers,12.9,14,12,13,12.8,12.7
8,Boston,13.3,13,18,14,12.6,13.8
9,Orlando,13.3,13.7,11,12.8,13.8,14.1
10,San Antonio,13.3,14.3,8,13.1,13.5,12.9
11,Miami,13.4,14.7,18,13.8,13.1,13.9
12,Utah,13.5,11.3,10,13.1,13.8,14.9
13,Cleveland,13.6,12.7,15,13.1,14,13.4
14,Chicago,13.7,14.3,15,13,14.3,13.9
15,Indiana,13.7,13.3,15,12.7,14.7,14.8
16,Portland,13.8,15.3,11,13.5,14.1,14.5
17,New York,13.9,13.7,19,14,13.7,13.4
18,Milwaukee,13.9,16.7,14,13.9,13.9,15.2
19,Minnesota,14,13.7,15,14.4,13.7,15
20,Washington,14.1,13.3,15,14.4,13.9,14.5
21,Golden State,14.6,14.3,13,14.6,14.6,14.9
22,Sacramento,14.6,9.7,11,14.9,14.4,16.2
23,Okla City,14.9,14,14,15.1,14.7,15.6
24,Denver,14.9,15.3,17,14.6,15.3,14.7
25,Houston,15,13,14,13.9,16.1,16.1
26,LA Lakers,15.2,15.7,18,14.5,15.8,13.7
27,Phoenix,15.4,9.7,9,15.4,15.5,17.2
28,Atlanta,15.8,15,22,15.6,16,14.9
29,Brooklyn,16.5,14.7,19,16.8,16.3,14.8
30,Philadelphia,16.7,16.3,13,16.5,16.8,16.4
